,Bus,C669/2,C687,C675,C668,C678,C665,C663,C661,C659,C656,C654/2,C653/2,C692,C689/1,T360,T376/1,T363/1,T367,T365/2,T361,T325/2,T339/2,T311/2,T308/3,T300,T330/1,M172/3,M171/2,M134,M132/1,M129,M114,M113,M14,M12,M21/1,M95/3
84,MZ3559-4,204403,205112,205217,205250,205302,205345,205356,205440,205513,205630,205725,205841,210008,210051,210338,210538,210655,210738,210949,211326,211431,211525,211713,211840,211945,212051,212533,212828,213028,214240,214418,214702,214936,215326,215443,215537,215905
85,MX1084-5,210855,211021,211221,211304,211326,211420,211504,211547,,,212018,212102,212323,212356,212711,212806,213050,213217,213356,213735,213841,213946,214135,214313,214451,214546,215031,215432,215622,220833,221021,221126,221336,221642,221819,222009,222316
86,MX1067-3,212806,212933,213123,213155,213206,213301,213334,213407,213450,213617,213712,213946,214208,214324,214640,214831,215126,215304,215516,215749,215905,220022,220139,220316,220610,220704,221231,221642,222042,222928,223224,223529,223740,223929,224047,224309,224722
87,MW5966-3,214146,214219,214324,214356,214418,214451,214513,214557,214629,214736,214831,214958,215221,215326,215622,215800,220022,220128,220255,220537,220632,220737,220959,221158,221504,221631,222136,222622,222812,223657,223929,224130,224403,224554,224659,224839,225311
88,MX1105-5,214440,215020,215137,215209,215232,215304,215326,215359,215443,215610,215654,215811,215959,220117,220421,220527,220748,220822,221042,221358,221526,221609,221736,221830,221957,222031,222516,222833,223011,224214,224352,224520,224722,224955,225112,225227,225715
89,MX4598-1,220715,220748,220905,220948,221010,221032,221104,221137,221209,221314,221431,221558,221830,222031,222316,222421,222633,222749,223000,223257,223351,223445,223603,223730,223846,223940,224403,224637,224816,225726,225831,230009,230136,230446,230603,230648,231103
90,MZ3825-5,221852,221936,222042,222114,222136,222209,222305,222359,222443,222600,222705,222833,223011,223149,223424,223529,223740,223857,224109,224447,224542,224637,224805,224933,225155,225238,225704,230031,230223,230838,231017,231147,231420,231647,231754,231900,232336
91,MW5853-5,222705,222906,223022,223105,223149,223224,223245,223329,223351,223540,223624,223740,223940,224047,224342,224447,224722,224805,224933,225227,225322,225416,225557,225704,225831,225915,230340,230625,230732,231552,231657,231754,231923,232156,232251,232357,232622
92,MS4934-3,,,,,,,,,,,,,,,,,,223116,223307,223603,223635,223730,223857,224014,224130,224225,224637,224828,225006,225726,225831,225947,230136,230402,230603,230659,230921
93,MZ3734-5,224203,224309,224414,224447,224509,224542,224616,224710,224744,224912,225006,225133,225354,225510,225810,225936,230223,230318,230530,230816,230943,231039,231231,231409,231541,231614,232101,232430,232622,,,,,,,,
94,MZ3740-5,225354,225449,225557,225620,225642,225715,225737,225820,225842,225947,230042,230147,230329,230413,230816,230911,231125,231231,231442,231816,231912,232007,232145,232303,232419,232441,232845,,,,,,,,,,
95,MX1197-6,,230827,230954,231050,231114,231136,231209,231242,231336,231431,231527,231625,231805,231912,232156,232357,232622,232717,232906,,,,,,,,,,,,,,,,,,
96,MZ3559-5,232134,232237,232336,232408,232430,232503,232527,232611,232644,232800,232906,233023,,,,,,,,,,,,,,,,,,,,,,,,,
