,Bus,M1/12,M7/3,M271,M105,M272,M61/2,M73/1,M270/1,M153/2,M173/2,M172/14,T403,T402,T309,T313,T315,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C686,C656,C654/3,C653/2,C692,C689/1,T360,T376/2,T363/2,T306/1,T314/2,T311/1,T308/1,T300,T330/1,M172/16,M160/1,M144/2,M76/2,M84/1,M91,M14,M8/1,M1/12
99,MX4021-6,,2,4,4,4,4,3,2,3,4,1,1,1,1,4,2,1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,-1,1,2,1,1,-1
100,MX4159-6,-1,1,1,3,1,1,3,1,3,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,3,2,1,-1,-1
101,MX4365-6,,2,2,1,1,1,1,1,3,4,1,1,1,1,1,1,1,1,1,1,1,3,2,-1,1,-1,-1,-1,1,3,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,2,1,1,-1
102,MX4458-6,,1,1,2,1,3,2,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,2,3,1,1,-1
103,MX4383-6,-1,1,2,1,2,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,1,2,1,1,-1
104,MX4551-4,-1,2,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,-1,1,1,,1,-1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,4,1,1,-1
105,AA7562-6,-1,2,2,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,-1,1,2,1,1,-1
106,MX4614-6,,,1,1,1,3,1,1,2,3,1,1,,1,,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,4,1,1,-1
107,MX4021-7,,1,2,1,2,1,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,2,2,1,-1,-1
108,MX4159-7,-1,,1,4,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,2,1,-1
109,MX4365-7,,1,1,2,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,2,2,4,1,2,1,1,-1
110,MX4458-7,,1,1,1,1,3,1,1,3,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,-1
111,MX4383-7,-1,2,2,1,2,2,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,4,1,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,-1
112,MX4551-5,-1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,-1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,,,
113,AA7562-7,,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,
114,MX4614-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
115,MX4159-8,-1,1,1,1,1,1,1,1,2,4,1,1,1,1,3,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
116,MX4365-8,,1,1,3,1,1,1,1,1,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
